"CUST_ID","LAST_NAME","FIRST_NAME","STREET_ADDRESS","POSTAL_CODE","CITY_ID","CITY","STATE_PROVINCE_ID","STATE_PROVINCE","COUNTRY_ID","COUNTRY","CONTINENT_ID","CONTINENT","AGE","COMMUTE_DISTANCE","CREDIT_BALANCE","EDUCATION","EMAIL","FULL_TIME","GENDER","HOUSEHOLD_SIZE","INCOME","INCOME_LEVEL","INSUFF_FUNDS_INCIDENTS","JOB_TYPE","LATE_MORT_RENT_PMTS","MARITAL_STATUS","MORTGAGE_AMT","NUM_CARS","NUM_MORTGAGES","PET","PROMOTION_RESPONSE","RENT_OWN","SEG","WORK_EXPERIENCE","YRS_CURRENT_EMPLOYER","YRS_CUSTOMER","YRS_RESIDENCE","ADDRESS_POINT","COUNTRY_CODE","USERNAME"
1,"Recker","Laurel","61 LONDON ROAD","PO8 8",52033,"COWPLAIN",1113,"",129,"United Kingdom",14,"Europe",30,1,21,"Bachelors","Laurel.Recker@oraclemail.com","Yes","Male",1,108625,"E: 90,000 - 109,999",0,"Services",0,"S",190000,1,1,"Dog",0,"Own",4,2,2,4,5,oracle.sql.STRUCT@39928141,"GB","guest93"
2,"Suzuki","Otto","","",49239,"Kitanoshita",1112,"Tokyo",128,"Japan",16,"Asia",27,40,206,"Masters","Otto.Suzuki@oraclemail.com","Yes","Male",1,93770,"E: 90,000 - 109,999",1,"Professional",1,"S",0,1,0,"Unknown",0,"Rent",4,8,2,5,2,oracle.sql.STRUCT@401547b4,"JP","guest51"
3,"Klossovsky","Ta-Heng","FAIRFAX STREET","CV1 5",55742,"COVENTRY",1113,"",129,"United Kingdom",14,"Europe",44,6,136,"High School","Ta-Heng.Klossovsky@oraclemail.com","Yes","Male",1,11851,"A: Below 30,000",1,"Business",1,"S",140000,1,1,"Unknown",0,"Own",6,18,3,4,16,oracle.sql.STRUCT@536e37d0,"GB","guest2559"
4,"Rovigo","Bhadrabuja","27 DUNDERG ROAD","BT51 4",37386,"MACOSQUIN",1113,"",129,"United Kingdom",14,"Europe",65,18,66,"Bachelors","Bhadrabuja.Rovigo@oraclemail.com","Yes","Male",2,54651,"C: 50,000 - 69,999",1,"Business",0,"M",6202,2,1,"Dog",0,"Own",8,28,20,2,2,oracle.sql.STRUCT@28369970,"GB","guest935"
5,"Lyakhov","Candrin","1 COMMERCIAL ROAD","EX7 9",110601,"DAWLISH",1113,"",129,"United Kingdom",14,"Europe",49,21,36,"Bachelors","Candrin.Lyakhov@oraclemail.com","Yes","Male",2,118261,"F: 110,000 - 129,999",0,"Business",0,"M",10000,1,1,"Unknown",0,"Own",6,25,4,1,1,oracle.sql.STRUCT@5038dbe,"GB","guest1056"
6,"Sreedhar","Motilal","12 ANTONY ROAD","PL11 2",89177,"TORPOINT",1113,"",129,"United Kingdom",14,"Europe",50,16,165,"Bachelors","Motilal.Sreedhar@oraclemail.com","Yes","Male",1,116367,"F: 110,000 - 129,999",0,"Business",0,"S",0,1,0,"Unknown",0,"Rent",6,28,6,1,1,oracle.sql.STRUCT@6f41524d,"GB","guest3132"
7,"Samudra","Rajindar","1 WHEAL ALFRED ROAD","TR27 5",108283,"HAYLE",1113,"",129,"United Kingdom",14,"Europe",68,7,469,"Masters","Rajindar.Samudra@oraclemail.com","Yes","Male",2,44486,"B: 30,000 - 49,999",0,"Professional",0,"M",0,2,0,"Cat",0,"Own",8,13,5,0,21,oracle.sql.STRUCT@4d3328c2,"GB","guest972"
8,"Kavelin","Qing","","GL54 2",97907,"LOWER SLAUGHTER",1113,"",129,"United Kingdom",14,"Europe",35,9,388,"High School","Qing.Kavelin@oraclemail.com","No","Female",4,28289,"A: Below 30,000",0,"Skilled",4,"M",0,2,0,"Unknown",0,"Rent",3,14,1,2,7,oracle.sql.STRUCT@5152c50d,"GB","guest4179"
9,"Rockmeier","Anantarama","12 ANTONY ROAD","PL11 2",56321,"TORPOINT",1113,"",129,"United Kingdom",14,"Europe",63,9,216,"Bachelors","Anantarama.Rockmeier@oraclemail.com","Yes","Male",2,105396,"E: 90,000 - 109,999",2,"Labor",1,"M",0,2,0,"Dog",0,"Own",8,38,25,7,24,oracle.sql.STRUCT@48a5cce4,"GB","guest592"
10,"Uguccione","Charles","WILLIAM STREET","BT48 9",24447,"LONDONDERRY",1113,"",129,"United Kingdom",14,"Europe",53,32,113,"Doctorate","Charles.Uguccione@oraclemail.com","Yes","Male",7,92423,"E: 90,000 - 109,999",0,"Business",0,"M",210000,2,2,"Other",0,"Own",6,22,12,2,12,oracle.sql.STRUCT@2d932c87,"GB","guest1961"
