ORDER_LINE_ID,ORDER_ID,ORDER_PRIORITY,CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_SEGMENT,CITY,PRODUCT_CATEGORY,PRODUCT_SUB_CATEGORY,PRODUCT_CONTAINER,PRODUCT_NAME,PROFIT,PROFIT_RATIO,QUANTITY_ORDERED,SALES,DISCOUNT,GROSS_UNIT_PRICE,SHIPPING_COST,SHIP_MODE,SHIP_DATE,ORDER_DATE,STATE,POSTAL_CODE,COUNTRY,LATITUDE,LONGITUDE,CONTINENT,REGION,SALES_REP
6023,88028,Not Specified,2211,Anita Hahn,Home Office,Pretoria,Office Supplies,Storage & Organization,Large Box,Safco Industrial Wire Shelving,-411,-220.9677419,2,186,8,101,35,Express Air,1/3/2015,1/1/2013,Gauteng,ZA101571,South Africa,-25.70692055,28.22942908,Africa,Southern Africa,
179,87946,Low,67,Ellen McCormick,Corporate,Nottingham,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",817,65.67524116,8,1244,64,164,7,Regular Air,1/9/2015,1/1/2015,England,GB101491,United Kingdom,52.97034426,-1.170016725,Europe,Northern Europe,
3049,90853,Critical,1155,Alex Nicholson,Consumer,San Pedro,Office Supplies,Paper,Wrap Bag,White GlueTop Scratch Pads,105,65.2173913,11,161,8,16,2,Regular Air,1/2/2015,1/1/2015,Provincia de Jujuy,AR101703,Argentina,-24.21962116,-64.87000452,America,South America,
3048,90853,Critical,1155,Alex Nicholson,Consumer,Córdoba,Office Supplies,Paper,Wrap Bag,"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",20,57.14285714,4,35,2,10,2,Express Air,1/4/2015,1/1/2015,Córdoba,AR101702,Argentina,-31.39995807,-64.18229456,America,South America,
186,37537,Low,68,Scott Bunn,Corporate,Sheffield,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",556,11.1758794,32,4975,281,164,7,Regular Air,1/9/2015,1/1/2015,England,GB101483,United Kingdom,53.36667666,-1.499996583,Europe,Northern Europe,
2463,9285,Critical ,949,Ernest Oh,Consumer,Dortmund,Office Supplies,Binders and Binder Accessories,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",-18,-14.75409836,3,122,7,43,3,Regular Air,1/4/2015,1/1/2015,Nordrhein-Westfalen,DE101485,Germany,51.52996706,7.450025593,Europe,Western Europe,
184,37537,Low,68,Scott Bunn,Corporate,Nottingham,Furniture,Chairs & Chairmats,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,-298,-24.20796101,4,1231,42,308,49,Delivery Truck,1/2/2015,1/1/2015,England,GB101491,United Kingdom,52.97034426,-1.170016725,Europe,Northern Europe,
2474,89083,Critical,950,Jane Shah,Consumer,Yaroslavl,Office Supplies,Binders and Binder Accessories,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",-14,-34.14634146,1,41,2,43,3,Regular Air,1/4/2015,1/1/2015,Yaroslavskaya Oblast',RU101488,Russia,57.61998293,39.87001054,Europe,Eastern Europe,
185,37537,Low,68,Scott Bunn,Corporate,Manchester,Furniture,Chairs & Chairmats,Jumbo Drum,Hon Valutask™ Swivel Chairs,-1623,-38.08071328,43,4262,279,107,45,Delivery Truck,1/4/2015,1/1/2015,England,GB101493,United Kingdom,53.50041526,-2.247987103,Europe,Northern Europe,
443,87463,Low,169,Janice Cole,Corporate,Manchester,Technology,Computer Peripherals,Small Box,"Fellowes Mobile Numeric Keypad, Graphite",89,70.63492063,3,126,8,46,17,Regular Air,1/5/2015,1/2/2015,England,GB101493,United Kingdom,53.50041526,-2.247987103,Europe,Northern Europe,
